timestamp,type
5.0153716,keydown
5.0257041,keyup
5.231874,keydown
5.2420996,keyup
5.451078,keydown
5.4614308,keyup
5.6680437,keydown
5.6783529,keyup
5.8859807,keydown
5.8962755,keyup
6.1013586,keydown
6.1117175,keyup
6.3165848,keydown
6.3271362,keyup
6.5340019,keydown
6.5443231,keyup
6.7510525,keydown
6.7613351,keyup
6.9669546,keydown
6.9772891999999995,keyup
7.1825856,keydown
7.1929632,keyup
7.399616,keydown
7.4099344,keyup
7.6161571,keydown
7.6264977,keyup
7.8309327,keydown
7.8412144,keyup
8.0479963,keydown
8.0583441,keyup
8.2670592,keydown
8.2774879,keyup
8.4863885,keydown
8.4967669,keyup
8.702148,keydown
8.7124848,keyup
8.9199535,keydown
8.9302785,keyup
9.1350499,keydown
9.1454203,keyup
9.3518822,keydown
9.3621256,keyup
9.5679755,keydown
9.5783567,keyup
9.786193,keydown
9.7966095,keyup
10.0022311,keydown
10.0125971,keyup
10.2191616,keydown
10.2294832,keyup
10.4362571,keydown
10.4466862,keyup
10.6536411,keydown
10.6639069,keyup
10.8718919,keydown
10.8822104,keyup
11.0870215,keydown
11.0973425,keyup
11.3015569,keydown
11.3119693,keyup
11.5174135,keydown
11.5278397,keyup
11.7349064,keydown
11.7452027,keyup
11.9500998,keydown
11.9602885,keyup
12.1641925,keydown
12.1744303,keyup
12.3812708,keydown
12.3915779,keyup
12.5950238,keydown
12.6053412,keyup
12.8117784,keydown
12.8221048,keyup
13.0288046,keydown
13.0391113,keyup
13.2472151,keydown
13.2575438,keyup
13.462116,keydown
13.4724387,keyup
13.6784036,keydown
13.6887558,keyup
13.8947152,keydown
13.9050583,keyup
14.1096428,keydown
14.1200186,keyup
14.3263823,keydown
14.3367927,keyup
14.5430549,keydown
14.5534989,keyup
14.7598617,keydown
14.770142,keyup
14.9789264,keydown
14.989257,keyup
15.1941321,keydown
15.2045645,keyup
15.410259,keydown
15.4206216,keyup
15.6276182,keydown
15.6379696,keyup
15.8441398,keydown
15.8544996,keyup
16.0635675,keydown
16.0740374,keyup
16.2791025,keydown
16.2894277,keyup
16.4973723,keydown
16.5077628,keyup
16.7151981,keydown
16.7255027,keyup
16.9292769,keydown
16.9396137,keyup
17.1457261,keydown
17.1559718,keyup
17.3629276,keydown
17.3732634,keyup
17.581523699999998,keydown
17.5918978,keyup
17.7969746,keydown
17.8073297,keyup
18.0132733,keydown
18.0234388,keyup
18.2316459,keydown
18.2418785,keyup
18.4493699,keydown
18.4597816,keyup
18.665984,keydown
18.6763431,keyup
18.883238,keydown
18.8935796,keyup
19.0988455,keydown
19.1090529,keyup
19.3147298,keydown
19.3249587,keyup
19.5306754,keydown
19.5411049,keyup
19.7503198,keydown
19.7606201,keyup
19.9658572,keydown
19.9761856,keyup
20.1832798,keydown
20.193619,keyup
20.3989539,keydown
20.4092762,keyup
20.6173042,keydown
20.6276278,keyup
20.8334033,keydown
20.843708499999998,keyup
21.048861,keydown
21.059245,keyup
21.2635978,keydown
21.2738197,keyup
21.4808156,keydown
21.4911679,keyup
21.696809000000002,keydown
21.7071236,keyup
21.9149621,keydown
21.9252595,keyup
22.1321418,keydown
22.1424668,keyup
22.351253,keydown
22.3616423,keyup
22.5688419,keydown
22.579114099999998,keyup
22.7842352,keydown
22.7945757,keyup
23.0002348,keydown
23.0105258,keyup
23.2152133,keydown
23.225513,keyup
23.4321017,keydown
23.4423737,keyup
23.651587,keydown
23.6619267,keyup
23.8683913,keydown
23.878738,keyup
24.0847342,keydown
24.0949921,keyup
24.3005082,keydown
24.3108826,keyup
24.5179626,keydown
24.52828,keyup
24.7346536,keydown
24.7451164,keyup
24.9494977,keydown
24.959910700000002,keyup
25.1679996,keydown
25.1783441,keyup
25.3846967,keydown
25.3951301,keyup
25.6011173,keydown
25.6114289,keyup
25.8180912,keydown
25.8283808,keyup
26.0352393,keydown
26.0455765,keyup
26.2514958,keydown
26.2618569,keyup
26.466158,keydown
26.4765844,keyup
