,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,10,2,0,8,8,2,8,14,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
1,13,5,4,12,13,4,12,12,10,10,13,12,12,12,14,14,14,14,13,13,13,13,13,13,13,13
2,4,1,3,7,9,2,11,1,9,8,4,6,9,7,1,1,1,1,4,4,4,4,7,7,7,7
3,11,3,3,11,8,5,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,10,15,2,13,7,10,11,14,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15
5,5,4,3,7,6,5,8,13,3,1,8,6,2,5,14,14,14,14,10,11,10,10,5,5,4,5
6,12,8,4,14,14,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,12,9,5,13,13,8,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,15,12,7,15,13,14,15,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,9,10,7,15,12,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,10,11,15,12,15,15,15,13,14,15,15,15,15,15,13,12,14,14,15,14,15,15,15,15,15,15
12,9,7,12,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,6,2,9,4,13,9,14,11,12,12,13,14,14,14,13,12,13,13,14,14,14,14,14,14,14,14
16,11,14,3,13,12,10,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,14,15,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,11,12,6,15,10,11,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,1,1,7,1,8,9,8,14,13,6,14,14,11,14,14,14,13,14,14,14,14,14,14,14,14,14
21,4,2,0,6,2,1,4,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,1,1,3,1,3,2,1,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
23,2,2,9,3,10,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,5,4,9,6,5,8,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,6,4,1,4,4,2,5,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,0,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,7,4,7,9,7,8,13,15,15,14,15,15,15,14,14,15,14,14,14,15,14,15,15,15,15
28,10,10,5,11,9,10,12,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15
29,6,3,4,5,7,4,7,14,14,12,15,15,14,15,13,13,14,13,15,15,15,15,15,15,15,15
30,13,14,3,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
