user,means_mean,meadians_means,stds_mean
0,1091,1061,116
1,752,739,64
2,3594,3271,976
3,979,943,134
4,854,834,93
5,1510,1491,97
6,838,817,102
7,741,723,83
8,983,952,115
9,1090,1058,132
10,580,561,57
11,1599,1532,223
12,1853,1797,212
13,1560,1538,122
14,1225,1183,156
15,810,791,74
16,1140,1106,146
17,736,722,64
18,743,738,38
19,811,794,77
20,957,940,89
21,1041,1012,115
22,875,864,78
23,1428,1385,180
24,825,811,77
25,1085,1052,138
26,1228,1199,119
27,942,920,92
28,1625,1587,183
29,715,702,56
30,1460,1399,203
